gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ocln,387.0087570869892,0.6141478166389844,0.5108563784306441,0.13000861005750375,0.24087384770719245
Ocrl,584.2785719883753,-0.16021905482558127,0.23924286161469058,0.47737945180288255,0.6167438570956955
Ocstamp,48.72851580519861,-1.9593855445834218,0.5267356769779996,1.858217935300892e-5,1.4610373546507563e-4
Odc1,643.8735221300498,-1.4338567063631664,0.4956060848780045,0.00057274184640007165,0.0028315068791907156
Odf2,928.826346660312,-0.07463861644294753,0.20998767321334905,0.7115540915479192,0.8041524780312036
Odf2l,263.9680646847657,0.1093187149124666,0.15933414400989945,0.48421380702089223,0.62268706862650125
Ofd1,251.2562280000906,0.3004255427724942,0.167702401664747,0.06642516973615285,0.14379141373717028
Ogdh,2970.479296663527,0.1538560074074412,0.13998175624547005,0.2631201935368436,0.40464552823427846
Ogdhl,34.089750568356344,-0.29615275270278224,0.4595641772148624,0.42017785161586163,0.5653623448177455
Ogfod1,651.9517091244594,0.4343035014458659,0.14319404086443652,0.0020192166014900504,0.008244297301606144
Ogfod2,486.39298587437247,0.6369736701782008,0.30351391743321343,0.02286125846236785,0.061817043749972156
Ogfod3,154.80055312888257,0.37743440622009516,0.27730908904649665,0.1448993542304887,0.2609942785972841
Ogfr,2293.3520709431837,0.47239981738441206,0.16143661291949665,0.002762809083842934,0.010651462832400609
Ogfrl1,2336.6335491291634,0.7747903642033324,0.4952668951505881,0.055097061169879794,0.12423962564516322
Ogg1,377.33349143684154,0.4612972018738354,0.43400930740379806,0.20661737017417936,0.33916566198610704
Ogn,363.88884197013135,-3.552670294597576,0.5238713225536018,4.823956181490623e-13,3.2990500330083094e-11
Ogt,4235.5605941098,-0.04579071592677117,0.19851702614203134,0.8093652070510139,0.8776031925384917
Oip5,108.29831473616086,0.6373706438667119,0.30954190701888973,0.02500798489474853,0.06644207785345778
Oit1,73.68689052643971,1.2766032441725095,1.0132782425098117,0.031353151370466154,0.07966094806407396
Ola1,1390.7830145645714,-0.19848470396549986,0.16582624513204547,0.21433979321180316,0.3484237140630772
Olfm1,349.4303465770804,-2.7998026722592657,0.4885515668715974,5.375388357766275e-10,1.5944826670868156e-8
Olfm2,45.50335994315984,-0.23000358609933316,0.41599484977680856,0.5078695883990341,0.6418762457076088
Olfm4,10.157289476437494,-2.7877948390138116,1.3979816034356107,0.001643041109408394,0.006946480614819919
Olfml1,33.649323201107265,-1.8383148213473222,0.6909364064990949,6.707255934338651e-4,0.003240012578876735
Olfml2a,34.47417891929306,-0.11810820168298582,0.5437707233473875,0.756296203111858,0.8391803134055709
Olfml2b,676.5996808527451,-2.3674431671826204,0.5409459980722393,7.610065482868238e-7,8.816718744097582e-6
Olfml3,2133.8984954906205,-2.9279785929233464,0.42392906394558044,2.551908429135803e-13,1.8962218673665774e-11
Olfr1372-ps1,10.772531409193329,-1.5083726525281635,0.8975540517694314,0.009340177210062245,0.029431121533071564
