genes	PT_Myc_PTEN_MGT_b1_TPM	PT_Myc_PTEN_MGT_b2_TPM	PT_Myc_PTEN_MGT_b3_TPM	PT_Myc_PTEN_MGT_b4_TPM	PT_Myc_PTEN_MGT_b5_TPM	PT_Myc_PTEN_MGT_b6_TPM	PT_Myc_PTEN_MGT_b7_TPM	PT_Myc_PTEN_MGT_b8_TPM	PT_Myc_PTEN_MGT_b9_TPM	PT_Myc_PTEN_MGT_b10_TPM	PT_Myc_PTEN_MGT_b11_TPM	PT_Myc_PTEN_MGT_b12_TPM	PT_Myc_PTEN_MGT_b13_TPM
Arf1	255.6042052	301.2967813	316.492791	306.6366933	285.2275723	306.0210932	308.9942033	336.7250386	252.6133803	322.1258717	340.879347	334.6486095	330.1062942
Arf2	49.79302698	42.18154939	48.84148009	51.76983133	49.17716763	34.19230092	32.95938168	35.74176387	20.4427013	51.69921397	46.66800584	39.70407231	24.00773049
Arf3	154.3583837	160.6916167	189.5049428	211.06162	163.2681965	155.5749692	197.7562901	221.9751651	116.815436	194.8662681	152.1782799	327.0859291	264.0850354
Arf4	313.69607	357.5388472	435.6660024	366.371114	334.4047399	273.5384074	352.2533917	295.3398383	108.0542783	332.0680282	336.8212595	293.0538671	288.0927659
Arf5	645.6495832	457.9711076	543.1172586	537.6097869	505.5412832	553.9152749	354.3133531	442.0691848	651.2460557	584.5988042	456.5348397	398.9313933	304.0979195
Arf6	160.9974539	255.0979415	191.458602	177.2121149	163.2681965	112.834593	154.4971016	139.2047646	81.77080519	182.9356802	196.817242	155.034949	130.0418735
Arfgap1	64.73093508	80.34580836	80.10002735	95.57507322	110.1568555	63.2557567	70.03868607	82.77040055	71.54945454	93.45627141	91.30696794	58.61077342	60.01932622
Arfgap2	58.09186482	60.25935627	58.60977611	73.67245228	62.94677457	68.38460184	82.3984542	94.05727335	80.31061224	67.60666443	56.8132245	81.29881474	62.01997043
Arfgap3	26.55628106	42.18154939	48.84148009	31.85835774	51.14425434	59.83652661	111.2379132	45.14749121	106.5940853	47.72235136	62.90035569	90.75216529	42.01352836
Arfgef1	28.21604862	70.30258231	46.88782089	49.77868397	39.3417341	25.64422569	59.7388793	41.38520028	14.6019295	39.76862613	32.46469971	52.93876309	56.01803781
